k,train_years,test_year,n_train,n_test,adj_rand,pitcher
6,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2025,24500,1504,0.459,"Nola, Aaron"
2,"[2016, 2017, 2018, 2020, 2021, 2022, 2023, 2024, 2025]",2017,2163,2691,0.424,"Walker, Taijuan"
2,"[2016, 2017, 2018, 2020, 2021, 2022, 2023, 2024, 2025]",2018,4854,126,0.306,"Walker, Taijuan"
2,"[2016, 2017, 2018, 2020, 2021, 2022, 2023, 2024, 2025]",2020,4980,812,0.233,"Walker, Taijuan"
2,"[2016, 2017, 2018, 2020, 2021, 2022, 2023, 2024, 2025]",2021,5792,2454,0.179,"Walker, Taijuan"
2,"[2016, 2017, 2018, 2020, 2021, 2022, 2023, 2024, 2025]",2022,8246,2463,0.245,"Walker, Taijuan"
2,"[2016, 2017, 2018, 2020, 2021, 2022, 2023, 2024, 2025]",2023,10709,2737,0.151,"Walker, Taijuan"
2,"[2016, 2017, 2018, 2020, 2021, 2022, 2023, 2024, 2025]",2024,13446,1266,0.193,"Walker, Taijuan"
2,"[2016, 2017, 2018, 2020, 2021, 2022, 2023, 2024, 2025]",2025,14712,2005,0.143,"Walker, Taijuan"
3,"[2016, 2017, 2018, 2020, 2021, 2022, 2023, 2024, 2025]",2017,2163,2691,0.693,"Walker, Taijuan"
3,"[2016, 2017, 2018, 2020, 2021, 2022, 2023, 2024, 2025]",2018,4854,126,0.581,"Walker, Taijuan"
3,"[2016, 2017, 2018, 2020, 2021, 2022, 2023, 2024, 2025]",2020,4980,812,0.391,"Walker, Taijuan"
3,"[2016, 2017, 2018, 2020, 2021, 2022, 2023, 2024, 2025]",2021,5792,2454,0.342,"Walker, Taijuan"
3,"[2016, 2017, 2018, 2020, 2021, 2022, 2023, 2024, 2025]",2022,8246,2463,0.511,"Walker, Taijuan"
3,"[2016, 2017, 2018, 2020, 2021, 2022, 2023, 2024, 2025]",2023,10709,2737,0.486,"Walker, Taijuan"
3,"[2016, 2017, 2018, 2020, 2021, 2022, 2023, 2024, 2025]",2024,13446,1266,0.373,"Walker, Taijuan"
3,"[2016, 2017, 2018, 2020, 2021, 2022, 2023, 2024, 2025]",2025,14712,2005,0.364,"Walker, Taijuan"
4,"[2016, 2017, 2018, 2020, 2021, 2022, 2023, 2024, 2025]",2017,2163,2691,0.626,"Walker, Taijuan"
4,"[2016, 2017, 2018, 2020, 2021, 2022, 2023, 2024, 2025]",2018,4854,126,0.544,"Walker, Taijuan"
4,"[2016, 2017, 2018, 2020, 2021, 2022, 2023, 2024, 2025]",2020,4980,812,0.386,"Walker, Taijuan"
4,"[2016, 2017, 2018, 2020, 2021, 2022, 2023, 2024, 2025]",2021,5792,2454,0.275,"Walker, Taijuan"
4,"[2016, 2017, 2018, 2020, 2021, 2022, 2023, 2024, 2025]",2022,8246,2463,0.484,"Walker, Taijuan"
4,"[2016, 2017, 2018, 2020, 2021, 2022, 2023, 2024, 2025]",2023,10709,2737,0.698,"Walker, Taijuan"
4,"[2016, 2017, 2018, 2020, 2021, 2022, 2023, 2024, 2025]",2024,13446,1266,0.406,"Walker, Taijuan"
4,"[2016, 2017, 2018, 2020, 2021, 2022, 2023, 2024, 2025]",2025,14712,2005,0.359,"Walker, Taijuan"
5,"[2016, 2017, 2018, 2020, 2021, 2022, 2023, 2024, 2025]",2017,2163,2691,0.601,"Walker, Taijuan"
5,"[2016, 2017, 2018, 2020, 2021, 2022, 2023, 2024, 2025]",2018,4854,126,0.459,"Walker, Taijuan"
5,"[2016, 2017, 2018, 2020, 2021, 2022, 2023, 2024, 2025]",2020,4980,812,0.546,"Walker, Taijuan"
5,"[2016, 2017, 2018, 2020, 2021, 2022, 2023, 2024, 2025]",2021,5792,2454,0.5,"Walker, Taijuan"
5,"[2016, 2017, 2018, 2020, 2021, 2022, 2023, 2024, 2025]",2022,8246,2463,0.64,"Walker, Taijuan"
5,"[2016, 2017, 2018, 2020, 2021, 2022, 2023, 2024, 2025]",2023,10709,2737,0.668,"Walker, Taijuan"
5,"[2016, 2017, 2018, 2020, 2021, 2022, 2023, 2024, 2025]",2024,13446,1266,0.641,"Walker, Taijuan"
5,"[2016, 2017, 2018, 2020, 2021, 2022, 2023, 2024, 2025]",2025,14712,2005,0.47,"Walker, Taijuan"
6,"[2016, 2017, 2018, 2020, 2021, 2022, 2023, 2024, 2025]",2021,5792,2454,0.478,"Walker, Taijuan"
6,"[2016, 2017, 2018, 2020, 2021, 2022, 2023, 2024, 2025]",2022,8246,2463,0.631,"Walker, Taijuan"
6,"[2016, 2017, 2018, 2020, 2021, 2022, 2023, 2024, 2025]",2023,10709,2737,0.669,"Walker, Taijuan"
6,"[2016, 2017, 2018, 2020, 2021, 2022, 2023, 2024, 2025]",2024,13446,1266,0.629,"Walker, Taijuan"
6,"[2016, 2017, 2018, 2020, 2021, 2022, 2023, 2024, 2025]",2025,14712,2005,0.466,"Walker, Taijuan"
7,"[2016, 2017, 2018, 2020, 2021, 2022, 2023, 2024, 2025]",2023,10709,2737,0.671,"Walker, Taijuan"
7,"[2016, 2017, 2018, 2020, 2021, 2022, 2023, 2024, 2025]",2024,13446,1266,0.608,"Walker, Taijuan"
7,"[2016, 2017, 2018, 2020, 2021, 2022, 2023, 2024, 2025]",2025,14712,2005,0.488,"Walker, Taijuan"
2,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]",2017,1656,3136,0.412,"Cole, Gerrit"
2,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]",2018,4792,3327,0.614,"Cole, Gerrit"
2,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]",2019,8119,3785,0.616,"Cole, Gerrit"
2,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]",2020,11904,1424,0.423,"Cole, Gerrit"
2,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]",2021,13328,2919,0.461,"Cole, Gerrit"
2,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]",2022,16247,3511,0.49,"Cole, Gerrit"
2,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]",2023,19758,3186,0.483,"Cole, Gerrit"
2,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]",2024,22944,1924,0.476,"Cole, Gerrit"
3,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]",2017,1656,3136,0.299,"Cole, Gerrit"
3,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]",2018,4792,3327,0.605,"Cole, Gerrit"
3,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]",2019,8119,3785,0.495,"Cole, Gerrit"
3,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]",2020,11904,1424,0.513,"Cole, Gerrit"
3,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]",2021,13328,2919,0.568,"Cole, Gerrit"
3,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]",2022,16247,3511,0.585,"Cole, Gerrit"
3,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]",2023,19758,3186,0.596,"Cole, Gerrit"
3,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]",2024,22944,1924,0.54,"Cole, Gerrit"
4,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]",2017,1656,3136,0.493,"Cole, Gerrit"
4,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]",2018,4792,3327,0.561,"Cole, Gerrit"
4,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]",2019,8119,3785,0.493,"Cole, Gerrit"
4,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]",2020,11904,1424,0.526,"Cole, Gerrit"
4,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]",2021,13328,2919,0.48,"Cole, Gerrit"
4,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]",2022,16247,3511,0.668,"Cole, Gerrit"
4,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]",2023,19758,3186,0.643,"Cole, Gerrit"
4,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]",2024,22944,1924,0.555,"Cole, Gerrit"
5,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]",2017,1656,3136,0.328,"Cole, Gerrit"
5,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]",2018,4792,3327,0.66,"Cole, Gerrit"
5,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]",2019,8119,3785,0.5,"Cole, Gerrit"
5,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]",2020,11904,1424,0.4,"Cole, Gerrit"
5,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]",2021,13328,2919,0.653,"Cole, Gerrit"
5,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]",2022,16247,3511,0.428,"Cole, Gerrit"
5,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]",2023,19758,3186,0.651,"Cole, Gerrit"
5,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]",2024,22944,1924,0.591,"Cole, Gerrit"
6,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]",2023,19758,3186,0.417,"Cole, Gerrit"
6,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]",2024,22944,1924,0.628,"Cole, Gerrit"
2,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2017,2018,3022,0.264,"deGrom, Jacob"
2,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2018,5040,3077,0.389,"deGrom, Jacob"
2,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2019,8117,3064,0.384,"deGrom, Jacob"
2,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2020,11181,1063,0.347,"deGrom, Jacob"
2,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2021,12244,1149,0.274,"deGrom, Jacob"
2,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2022,13393,980,0.199,"deGrom, Jacob"
2,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2023,14373,378,0.173,"deGrom, Jacob"
2,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2024,14751,111,0.232,"deGrom, Jacob"
2,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2025,14862,2541,0.229,"deGrom, Jacob"
3,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2017,2018,3022,0.415,"deGrom, Jacob"
3,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2018,5040,3077,0.619,"deGrom, Jacob"
3,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2019,8117,3064,0.587,"deGrom, Jacob"
3,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2020,11181,1063,0.469,"deGrom, Jacob"
3,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2021,12244,1149,0.705,"deGrom, Jacob"
3,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2022,13393,980,0.804,"deGrom, Jacob"
3,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2023,14373,378,0.932,"deGrom, Jacob"
3,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2024,14751,111,0.811,"deGrom, Jacob"
3,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2025,14862,2541,0.883,"deGrom, Jacob"
4,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2017,2018,3022,0.27,"deGrom, Jacob"
4,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2018,5040,3077,0.415,"deGrom, Jacob"
4,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2019,8117,3064,0.331,"deGrom, Jacob"
4,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2020,11181,1063,0.384,"deGrom, Jacob"
4,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2021,12244,1149,0.622,"deGrom, Jacob"
4,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2022,13393,980,0.285,"deGrom, Jacob"
4,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2023,14373,378,0.25,"deGrom, Jacob"
4,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2024,14751,111,0.233,"deGrom, Jacob"
4,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2025,14862,2541,0.315,"deGrom, Jacob"
5,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2017,2018,3022,0.37,"deGrom, Jacob"
5,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2018,5040,3077,0.687,"deGrom, Jacob"
5,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2019,8117,3064,0.314,"deGrom, Jacob"
5,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2020,11181,1063,0.476,"deGrom, Jacob"
5,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2021,12244,1149,0.559,"deGrom, Jacob"
5,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2022,13393,980,0.286,"deGrom, Jacob"
5,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2023,14373,378,0.272,"deGrom, Jacob"
5,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2024,14751,111,0.194,"deGrom, Jacob"
5,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2025,14862,2541,0.462,"deGrom, Jacob"
2,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2017,2788,3199,0.633,"Gausman, Kevin"
2,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2018,5987,2973,0.631,"Gausman, Kevin"
2,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2019,8960,1550,0.867,"Gausman, Kevin"
2,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2020,10510,913,0.617,"Gausman, Kevin"
2,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2021,11423,2981,0.782,"Gausman, Kevin"
2,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2022,14404,2797,0.035,"Gausman, Kevin"
2,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2023,17201,3019,0.811,"Gausman, Kevin"
2,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2024,20220,2797,0.71,"Gausman, Kevin"
2,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2025,23017,3369,0.814,"Gausman, Kevin"
3,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2017,2788,3199,0.731,"Gausman, Kevin"
3,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2018,5987,2973,0.913,"Gausman, Kevin"
3,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2019,8960,1550,0.886,"Gausman, Kevin"
3,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2020,10510,913,0.695,"Gausman, Kevin"
3,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2021,11423,2981,0.873,"Gausman, Kevin"
3,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2022,14404,2797,0.048,"Gausman, Kevin"
3,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2023,17201,3019,0.84,"Gausman, Kevin"
3,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2024,20220,2797,0.754,"Gausman, Kevin"
3,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2025,23017,3369,0.893,"Gausman, Kevin"
4,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2017,2788,3199,0.369,"Gausman, Kevin"
4,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2018,5987,2973,0.774,"Gausman, Kevin"
4,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2019,8960,1550,0.851,"Gausman, Kevin"
4,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2020,10510,913,0.702,"Gausman, Kevin"
4,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2021,11423,2981,0.881,"Gausman, Kevin"
4,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2022,14404,2797,0.788,"Gausman, Kevin"
4,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2023,17201,3019,0.852,"Gausman, Kevin"
4,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2024,20220,2797,0.761,"Gausman, Kevin"
4,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2025,23017,3369,0.2,"Gausman, Kevin"
5,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2017,2788,3199,0.398,"Gausman, Kevin"
5,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2018,5987,2973,0.824,"Gausman, Kevin"
5,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2019,8960,1550,0.829,"Gausman, Kevin"
5,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2020,10510,913,0.707,"Gausman, Kevin"
5,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2021,11423,2981,0.883,"Gausman, Kevin"
5,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2022,14404,2797,0.669,"Gausman, Kevin"
5,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2023,17201,3019,0.796,"Gausman, Kevin"
5,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2024,20220,2797,0.572,"Gausman, Kevin"
5,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2025,23017,3369,0.206,"Gausman, Kevin"
2,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2017,1932,2555,0.605,"Manaea, Sean"
2,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2018,4487,2227,0.773,"Manaea, Sean"
2,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2019,6714,407,0.764,"Manaea, Sean"
2,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2020,7121,817,0.553,"Manaea, Sean"
2,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2021,7938,2869,0.642,"Manaea, Sean"
2,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2022,10807,2424,0.237,"Manaea, Sean"
2,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2023,13231,1986,0.455,"Manaea, Sean"
2,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2024,15217,3151,0.311,"Manaea, Sean"
2,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2025,18368,1030,0.864,"Manaea, Sean"
3,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2017,1932,2555,0.886,"Manaea, Sean"
3,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2018,4487,2227,0.935,"Manaea, Sean"
3,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2019,6714,407,0.83,"Manaea, Sean"
3,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2020,7121,817,0.805,"Manaea, Sean"
3,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2021,7938,2869,0.749,"Manaea, Sean"
3,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2022,10807,2424,0.434,"Manaea, Sean"
3,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2023,13231,1986,0.576,"Manaea, Sean"
3,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2024,15217,3151,0.343,"Manaea, Sean"
3,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2025,18368,1030,0.91,"Manaea, Sean"
4,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2018,4487,2227,0.749,"Manaea, Sean"
4,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2019,6714,407,0.552,"Manaea, Sean"
4,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2020,7121,817,0.679,"Manaea, Sean"
4,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2021,7938,2869,0.807,"Manaea, Sean"
4,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2022,10807,2424,0.557,"Manaea, Sean"
4,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2023,13231,1986,0.363,"Manaea, Sean"
4,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2024,15217,3151,0.498,"Manaea, Sean"
4,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2025,18368,1030,0.886,"Manaea, Sean"
5,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2021,7938,2869,0.593,"Manaea, Sean"
5,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2022,10807,2424,0.417,"Manaea, Sean"
5,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2023,13231,1986,0.645,"Manaea, Sean"
5,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2024,15217,3151,0.54,"Manaea, Sean"
5,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2025,18368,1030,0.89,"Manaea, Sean"
6,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2021,7938,2869,0.645,"Manaea, Sean"
6,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2022,10807,2424,0.485,"Manaea, Sean"
6,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2023,13231,1986,0.623,"Manaea, Sean"
6,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2024,15217,3151,0.405,"Manaea, Sean"
6,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2025,18368,1030,0.884,"Manaea, Sean"
2,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2017,1533,3128,0.45,"Darvish, Yu"
2,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2018,4661,614,0.39,"Darvish, Yu"
2,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2019,5275,2450,0.349,"Darvish, Yu"
2,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2020,7725,1171,0.193,"Darvish, Yu"
2,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2021,8896,2674,0.34,"Darvish, Yu"
2,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2022,11570,3263,0.337,"Darvish, Yu"
2,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2023,14833,2122,0.288,"Darvish, Yu"
2,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2024,16955,1346,0.277,"Darvish, Yu"
2,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2025,18301,1114,0.258,"Darvish, Yu"
3,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2017,1533,3128,0.405,"Darvish, Yu"
3,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2018,4661,614,0.352,"Darvish, Yu"
3,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2019,5275,2450,0.305,"Darvish, Yu"
3,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2020,7725,1171,0.149,"Darvish, Yu"
3,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2021,8896,2674,0.373,"Darvish, Yu"
3,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2022,11570,3263,0.261,"Darvish, Yu"
3,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2023,14833,2122,0.281,"Darvish, Yu"
3,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2024,16955,1346,0.29,"Darvish, Yu"
3,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2025,18301,1114,0.253,"Darvish, Yu"
4,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2017,1533,3128,0.414,"Darvish, Yu"
4,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2018,4661,614,0.529,"Darvish, Yu"
4,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2019,5275,2450,0.395,"Darvish, Yu"
4,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2020,7725,1171,0.313,"Darvish, Yu"
4,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2021,8896,2674,0.413,"Darvish, Yu"
4,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2022,11570,3263,0.317,"Darvish, Yu"
4,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2023,14833,2122,0.331,"Darvish, Yu"
