k,train_years,test_year,n_train,n_test,adj_rand,pitcher
3,"[2016, 2017, 2018, 2019, 2021, 2022, 2023, 2024, 2025]",2017,3203,3495,0.738,"Sale, Chris"
3,"[2016, 2017, 2018, 2019, 2021, 2022, 2023, 2024, 2025]",2018,6698,2730,0.585,"Sale, Chris"
3,"[2016, 2017, 2018, 2019, 2021, 2022, 2023, 2024, 2025]",2019,9428,2389,0.81,"Sale, Chris"
3,"[2016, 2017, 2018, 2019, 2021, 2022, 2023, 2024, 2025]",2021,11817,821,0.849,"Sale, Chris"
3,"[2016, 2017, 2018, 2019, 2021, 2022, 2023, 2024, 2025]",2022,12638,24,0.554,"Sale, Chris"
3,"[2016, 2017, 2018, 2019, 2021, 2022, 2023, 2024, 2025]",2023,12662,1594,0.633,"Sale, Chris"
3,"[2016, 2017, 2018, 2019, 2021, 2022, 2023, 2024, 2025]",2024,14256,2730,0.746,"Sale, Chris"
3,"[2016, 2017, 2018, 2019, 2021, 2022, 2023, 2024, 2025]",2025,16986,1944,0.695,"Sale, Chris"
4,"[2016, 2017, 2018, 2019, 2021, 2022, 2023, 2024, 2025]",2018,6698,2730,0.615,"Sale, Chris"
4,"[2016, 2017, 2018, 2019, 2021, 2022, 2023, 2024, 2025]",2019,9428,2389,0.622,"Sale, Chris"
4,"[2016, 2017, 2018, 2019, 2021, 2022, 2023, 2024, 2025]",2021,11817,821,0.741,"Sale, Chris"
4,"[2016, 2017, 2018, 2019, 2021, 2022, 2023, 2024, 2025]",2022,12638,24,0.508,"Sale, Chris"
4,"[2016, 2017, 2018, 2019, 2021, 2022, 2023, 2024, 2025]",2023,12662,1594,0.59,"Sale, Chris"
4,"[2016, 2017, 2018, 2019, 2021, 2022, 2023, 2024, 2025]",2024,14256,2730,0.741,"Sale, Chris"
4,"[2016, 2017, 2018, 2019, 2021, 2022, 2023, 2024, 2025]",2025,16986,1944,0.702,"Sale, Chris"
2,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2017,2087,2398,0.088,"Gibson, Kyle"
2,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2018,4485,2990,0.352,"Gibson, Kyle"
2,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2019,7475,2561,0.333,"Gibson, Kyle"
2,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2020,10036,1045,0.41,"Gibson, Kyle"
2,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2021,11081,2848,0.266,"Gibson, Kyle"
2,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2022,13929,2698,0.25,"Gibson, Kyle"
2,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2023,16627,2987,0.255,"Gibson, Kyle"
2,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2024,19614,2648,0.283,"Gibson, Kyle"
2,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2025,22262,207,0.3,"Gibson, Kyle"
3,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2017,2087,2398,0.337,"Gibson, Kyle"
3,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2018,4485,2990,0.472,"Gibson, Kyle"
3,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2019,7475,2561,0.31,"Gibson, Kyle"
3,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2020,10036,1045,0.667,"Gibson, Kyle"
3,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2021,11081,2848,0.328,"Gibson, Kyle"
3,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2022,13929,2698,0.282,"Gibson, Kyle"
3,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2023,16627,2987,0.291,"Gibson, Kyle"
3,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2024,19614,2648,0.296,"Gibson, Kyle"
3,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2025,22262,207,0.278,"Gibson, Kyle"
4,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2017,2087,2398,0.469,"Gibson, Kyle"
4,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2018,4485,2990,0.523,"Gibson, Kyle"
4,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2019,7475,2561,0.301,"Gibson, Kyle"
4,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2020,10036,1045,0.65,"Gibson, Kyle"
4,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2021,11081,2848,0.388,"Gibson, Kyle"
4,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2022,13929,2698,0.317,"Gibson, Kyle"
4,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2023,16627,2987,0.468,"Gibson, Kyle"
4,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2024,19614,2648,0.408,"Gibson, Kyle"
4,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2025,22262,207,0.513,"Gibson, Kyle"
5,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2017,2087,2398,0.505,"Gibson, Kyle"
5,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2018,4485,2990,0.495,"Gibson, Kyle"
5,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2019,7475,2561,0.573,"Gibson, Kyle"
5,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2020,10036,1045,0.561,"Gibson, Kyle"
5,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2021,11081,2848,0.369,"Gibson, Kyle"
5,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2022,13929,2698,0.394,"Gibson, Kyle"
5,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2023,16627,2987,0.488,"Gibson, Kyle"
5,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2024,19614,2648,0.447,"Gibson, Kyle"
5,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2025,22262,207,0.459,"Gibson, Kyle"
6,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2021,11081,2848,0.37,"Gibson, Kyle"
6,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2022,13929,2698,0.393,"Gibson, Kyle"
6,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2023,16627,2987,0.493,"Gibson, Kyle"
6,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2024,19614,2648,0.446,"Gibson, Kyle"
6,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2025,22262,207,0.463,"Gibson, Kyle"
7,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2022,13929,2698,0.39,"Gibson, Kyle"
7,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2023,16627,2987,0.542,"Gibson, Kyle"
7,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2024,19614,2648,0.446,"Gibson, Kyle"
7,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2025,22262,207,0.483,"Gibson, Kyle"
2,"[2016, 2017, 2018, 2019, 2022, 2023, 2024, 2025]",2017,3505,3952,0.458,"Verlander, Justin"
2,"[2016, 2017, 2018, 2019, 2022, 2023, 2024, 2025]",2018,7457,3611,0.529,"Verlander, Justin"
2,"[2016, 2017, 2018, 2019, 2022, 2023, 2024, 2025]",2019,11068,3736,0.366,"Verlander, Justin"
2,"[2016, 2017, 2018, 2019, 2022, 2023, 2024, 2025]",2022,14804,2890,0.414,"Verlander, Justin"
2,"[2016, 2017, 2018, 2019, 2022, 2023, 2024, 2025]",2023,17694,2797,0.413,"Verlander, Justin"
2,"[2016, 2017, 2018, 2019, 2022, 2023, 2024, 2025]",2024,20491,1500,0.413,"Verlander, Justin"
2,"[2016, 2017, 2018, 2019, 2022, 2023, 2024, 2025]",2025,21991,2515,0.365,"Verlander, Justin"
3,"[2016, 2017, 2018, 2019, 2022, 2023, 2024, 2025]",2017,3505,3952,0.275,"Verlander, Justin"
3,"[2016, 2017, 2018, 2019, 2022, 2023, 2024, 2025]",2018,7457,3611,0.565,"Verlander, Justin"
3,"[2016, 2017, 2018, 2019, 2022, 2023, 2024, 2025]",2019,11068,3736,0.432,"Verlander, Justin"
3,"[2016, 2017, 2018, 2019, 2022, 2023, 2024, 2025]",2022,14804,2890,0.444,"Verlander, Justin"
3,"[2016, 2017, 2018, 2019, 2022, 2023, 2024, 2025]",2023,17694,2797,0.427,"Verlander, Justin"
3,"[2016, 2017, 2018, 2019, 2022, 2023, 2024, 2025]",2024,20491,1500,0.426,"Verlander, Justin"
3,"[2016, 2017, 2018, 2019, 2022, 2023, 2024, 2025]",2025,21991,2515,0.384,"Verlander, Justin"
4,"[2016, 2017, 2018, 2019, 2022, 2023, 2024, 2025]",2017,3505,3952,0.324,"Verlander, Justin"
4,"[2016, 2017, 2018, 2019, 2022, 2023, 2024, 2025]",2018,7457,3611,0.583,"Verlander, Justin"
4,"[2016, 2017, 2018, 2019, 2022, 2023, 2024, 2025]",2019,11068,3736,0.455,"Verlander, Justin"
4,"[2016, 2017, 2018, 2019, 2022, 2023, 2024, 2025]",2022,14804,2890,0.45,"Verlander, Justin"
4,"[2016, 2017, 2018, 2019, 2022, 2023, 2024, 2025]",2023,17694,2797,0.523,"Verlander, Justin"
4,"[2016, 2017, 2018, 2019, 2022, 2023, 2024, 2025]",2024,20491,1500,0.628,"Verlander, Justin"
4,"[2016, 2017, 2018, 2019, 2022, 2023, 2024, 2025]",2025,21991,2515,0.384,"Verlander, Justin"
5,"[2016, 2017, 2018, 2019, 2022, 2023, 2024, 2025]",2018,7457,3611,0.649,"Verlander, Justin"
5,"[2016, 2017, 2018, 2019, 2022, 2023, 2024, 2025]",2019,11068,3736,0.457,"Verlander, Justin"
5,"[2016, 2017, 2018, 2019, 2022, 2023, 2024, 2025]",2022,14804,2890,0.46,"Verlander, Justin"
5,"[2016, 2017, 2018, 2019, 2022, 2023, 2024, 2025]",2023,17694,2797,0.552,"Verlander, Justin"
5,"[2016, 2017, 2018, 2019, 2022, 2023, 2024, 2025]",2024,20491,1500,0.905,"Verlander, Justin"
5,"[2016, 2017, 2018, 2019, 2022, 2023, 2024, 2025]",2025,21991,2515,0.385,"Verlander, Justin"
2,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2017,3331,3051,0.581,"Scherzer, Max"
2,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2018,6382,3309,0.297,"Scherzer, Max"
2,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2019,9691,3119,0.606,"Scherzer, Max"
2,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2020,12810,1114,0.251,"Scherzer, Max"
2,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2021,13924,3025,0.179,"Scherzer, Max"
2,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2022,16949,2163,0.571,"Scherzer, Max"
2,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2023,19112,2516,0.142,"Scherzer, Max"
2,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2024,21628,612,0.001,"Scherzer, Max"
2,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2025,22240,1561,0.259,"Scherzer, Max"
3,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2017,3331,3051,0.474,"Scherzer, Max"
3,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2018,6382,3309,0.679,"Scherzer, Max"
3,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2019,9691,3119,0.298,"Scherzer, Max"
3,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2020,12810,1114,0.606,"Scherzer, Max"
3,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2021,13924,3025,0.507,"Scherzer, Max"
3,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2022,16949,2163,0.508,"Scherzer, Max"
3,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2023,19112,2516,0.346,"Scherzer, Max"
3,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2024,21628,612,0.549,"Scherzer, Max"
3,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2025,22240,1561,0.595,"Scherzer, Max"
4,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2017,3331,3051,0.418,"Scherzer, Max"
4,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2018,6382,3309,0.493,"Scherzer, Max"
4,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2019,9691,3119,0.387,"Scherzer, Max"
4,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2020,12810,1114,0.606,"Scherzer, Max"
4,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2021,13924,3025,0.503,"Scherzer, Max"
4,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2022,16949,2163,0.498,"Scherzer, Max"
4,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2023,19112,2516,0.631,"Scherzer, Max"
4,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2024,21628,612,0.504,"Scherzer, Max"
4,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2025,22240,1561,0.538,"Scherzer, Max"
5,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2017,3331,3051,0.796,"Scherzer, Max"
5,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2018,6382,3309,0.841,"Scherzer, Max"
