pitcher,test_year,weighted_f1,n_train,n_test
"Wheeler, Zack",2023,0.542,14204,3453
"Wheeler, Zack",2024,0.746,17657,3156
"Wheeler, Zack",2025,0.885,20813,2296
"Buehler, Walker",2018,0.642,165,2313
"Buehler, Walker",2019,0.929,2478,2925
"Buehler, Walker",2020,0.83,5403,994
"Buehler, Walker",2021,0.771,6397,3380
"Buehler, Walker",2022,0.903,9777,968
"Buehler, Walker",2024,0.881,10745,1517
"Buehler, Walker",2025,0.789,12262,2109
"Mikolas, Miles",2019,0.956,2894,2877
"Mikolas, Miles",2021,0.787,5771,650
"Mikolas, Miles",2022,0.777,6421,3148
"Mikolas, Miles",2023,0.853,9569,3094
"Mikolas, Miles",2024,0.717,12663,2629
"Mikolas, Miles",2025,0.751,15292,2400
"Almonte, Yency",2019,0.981,237,512
"Almonte, Yency",2020,0.918,749,418
"Almonte, Yency",2021,0.689,1167,856
"Almonte, Yency",2022,0.114,2023,480
"Almonte, Yency",2023,0.711,2503,774
"Almonte, Yency",2024,0.633,3277,254
"Burnes, Corbin",2019,0.792,602,742
"Burnes, Corbin",2020,0.233,1344,935
"Burnes, Corbin",2021,0.624,2279,2588
"Burnes, Corbin",2022,0.849,4867,3189
"Burnes, Corbin",2023,0.851,8056,3061
"Burnes, Corbin",2024,0.795,11117,2995
"Burnes, Corbin",2025,0.913,14112,911
"Suarez, Ranger",2019,0.886,145,660
"Suarez, Ranger",2020,0.642,805,52
"Suarez, Ranger",2021,0.654,857,1583
"Suarez, Ranger",2022,0.567,2440,2737
"Suarez, Ranger",2023,0.762,5177,2201
"Suarez, Ranger",2024,0.744,7378,2279
"Suarez, Ranger",2025,0.687,9657,2420
"Cease, Dylan",2020,0.936,1256,1024
"Cease, Dylan",2021,0.957,2280,2899
"Cease, Dylan",2022,0.971,5179,3041
"Cease, Dylan",2023,0.994,8220,3174
"Cease, Dylan",2024,0.929,11394,3201
"Cease, Dylan",2025,0.906,14595,3019
"Webb, Logan",2020,0.728,580,860
"Webb, Logan",2021,0.852,1440,2296
"Webb, Logan",2022,0.942,3736,2907
"Webb, Logan",2023,0.94,6643,3059
"Webb, Logan",2024,0.892,9702,3096
"Webb, Logan",2025,0.867,12798,3204
"Singer, Brady",2021,0.956,990,2210
"Singer, Brady",2022,0.978,3200,2316
"Singer, Brady",2023,0.935,5516,2527
"Singer, Brady",2024,0.778,8043,2874
"Singer, Brady",2025,0.69,10917,2758
"Skubal, Tarik",2021,0.763,539,2447
"Skubal, Tarik",2022,0.724,2986,1833
"Skubal, Tarik",2023,0.868,4819,1161
"Skubal, Tarik",2024,0.763,5980,3018
"Skubal, Tarik",2025,0.746,8998,3072
"McKenzie, Triston",2021,0.975,509,1917
"McKenzie, Triston",2022,0.941,2426,2928
"McKenzie, Triston",2023,0.991,5354,221
"McKenzie, Triston",2024,0.975,5575,1221
"McKenzie, Triston",2025,0.989,6796,97
"Houck, Tanner",2021,0.767,178,1206
"Houck, Tanner",2022,0.723,1384,838
"Houck, Tanner",2023,0.729,2222,1649
"Houck, Tanner",2024,0.288,3871,2651
"Houck, Tanner",2025,0.803,6522,660
"Crochet, Garrett",2021,0.639,78,940
"Crochet, Garrett",2023,0.876,1018,284
"Crochet, Garrett",2024,0.555,1302,2306
"Crochet, Garrett",2025,0.758,3608,3158
"Gilbert, Logan",2022,0.85,2050,3011
"Gilbert, Logan",2023,0.637,5061,2829
"Gilbert, Logan",2024,0.666,7890,2946
"Gilbert, Logan",2025,0.96,10836,2270
"Ober, Bailey",2022,0.956,1394,775
"Ober, Bailey",2023,0.702,2169,2318
"Ober, Bailey",2024,0.717,4487,2639
"Ober, Bailey",2025,0.894,7126,2277
"Sánchez, Cristopher",2022,0.878,189,612
"Sánchez, Cristopher",2023,0.982,801,1423
"Sánchez, Cristopher",2024,0.978,2224,2789
"Sánchez, Cristopher",2025,0.955,5013,2990
"Detmers, Reid",2022,0.844,295,2103
"Detmers, Reid",2023,0.861,2398,2505
"Detmers, Reid",2024,0.899,4903,1468
"Detmers, Reid",2025,0.954,6371,1043
"Sears, JP",2023,0.65,1070,2763
"Sears, JP",2024,0.701,3833,2774
"Sears, JP",2025,0.842,6607,2259
"Kirby, George",2023,0.606,2127,2726
"Kirby, George",2024,0.634,4853,2865
"Kirby, George",2025,0.61,7718,2313
"Pepiot, Ryan",2023,0.913,660,579
"Pepiot, Ryan",2024,0.865,1239,2050
"Pepiot, Ryan",2025,0.925,3289,2519
"Miller, Mason",2024,0.995,526,992
"Miller, Mason",2025,0.995,1518,994
"Miller, Bryce",2024,0.585,1990,2658
"Miller, Bryce",2025,0.74,4648,1638
"Pfaadt, Brandon",2024,0.799,1852,2686
"Pfaadt, Brandon",2025,0.654,4538,2833
"Skenes, Paul",holdout,0.72,3460,1484
